,output_dim,embedding,nodes,activation,regularizer,stacking,dropout,optimizer,bidirectional,epochs,batch_size,method,accuracy,loss,val_accuracy,val_loss,len_dataset,n_features,dominant_class
0,3,12300,64,tanh,,False,False,adam,False,7,32,GRU,0.8441522121429443,0.3070916533470154,0.5659955143928528,1.194259524345398,8936,17,0.6029543419874664
1,3,12300,64,tanh,,True,False,adam,False,7,32,GRU,0.8400951027870178,0.3104480504989624,0.577740490436554,1.1379142999649048,8936,17,0.6029543419874664
2,3,12300,64,tanh,L1,False,False,adam,False,7,32,GRU,0.8407946228981018,0.31017303466796875,0.576621949672699,1.1284215450286863,8936,17,0.6029543419874664
3,3,12300,64,tanh,L1,True,False,adam,False,6,32,GRU,0.8375769257545471,0.334755003452301,0.576621949672699,0.9938499331474304,8936,17,0.6029543419874664
4,2,45589,64,tanh,,False,False,adam,False,6,32,GRU,0.625,1.13502836227417,0.0,2.678114414215088,360,1724,0.5
5,2,45589,64,tanh,,False,True,adam,False,11,32,GRU,1.0,0.07964976876974106,0.6527777910232544,0.7363020777702332,360,1724,0.5
6,2,45589,64,tanh,,True,False,adam,False,10,32,GRU,1.0,0.046720489859580994,0.5277777910232544,1.0191513299942017,360,1724,0.5
7,2,45589,64,tanh,,True,True,adam,False,6,32,GRU,0.625,1.102821946144104,0.0,2.674014091491699,360,1724,0.5
8,2,45589,32,tanh,L1,False,False,adam,False,35,32,GRU,0.9895833134651184,0.08349606394767761,0.4583333432674408,1.2623639106750488,360,1724,0.5
9,2,45589,32,tanh,L1,False,False,adam,False,12,32,LSTM,0.9930555820465088,0.5592237114906311,0.4722222089767456,1.81052565574646,360,1724,0.5
10,2,45589,32,tanh,L1,False,False,rmsprop,False,38,32,GRU,0.9965277910232544,0.05491538345813751,0.4722222089767456,1.2655423879623413,360,1724,0.5
11,2,45589,32,tanh,L1,False,False,rmsprop,False,11,32,LSTM,0.9895833134651184,0.6562552452087402,0.5,1.8375996351242063,360,1724,0.5
12,2,45589,32,tanh,L1,False,True,adam,False,11,32,GRU,0.9861111044883728,0.6458783745765686,0.4166666567325592,1.9744133949279783,360,1724,0.5
13,2,45589,32,tanh,L1,False,True,adam,False,28,32,LSTM,0.9895833134651184,0.08198297023773192,0.4305555522441864,1.2100344896316528,360,1724,0.5
14,2,45589,32,tanh,L1,False,True,rmsprop,False,24,32,GRU,0.9930555820465088,0.09505915641784668,0.4583333432674408,1.5486583709716797,360,1724,0.5
15,2,45589,32,tanh,L1,False,True,rmsprop,False,12,32,LSTM,0.9930555820465088,0.6053558588027954,0.4722222089767456,1.925863265991211,360,1724,0.5
16,2,45589,32,tanh,L1,True,False,adam,False,12,32,GRU,0.9861111044883728,0.5859078168869019,0.4861111044883728,1.7962502241134644,360,1724,0.5
